id,real_monthly_payment,monthly_difference,difference_surplus,class,total_credits,delinquency_accounts,current_accounts,current_accounts_percentage,delinquency_accounts_percentage,worst_delinquency,worst_delinquency_past_due_balance,credit_limit,maximum_number_of_credit_payments
0,96773.0,3117600,3020827.0,1,30,7,23,76.66666666666667,23.333333333333332,4.0,4342.0,513069.0,1000.0
1,4927.0,65208,60281.0,0,8,5,3,37.5,62.5,73.0,20414.0,247552.0,360.0
2,6736.0,64960,58224.0,0,8,2,6,75.0,25.0,2.0,408.0,1475.0,20.0
3,15082.0,-60808,-75890.0,1,2,0,2,100.0,0.0,0.0,0.0,25000.0,36.0
4,0.0,68430,68430.0,1,6,0,6,100.0,0.0,0.0,0.0,48000.0,0.0
5,39135.0,-86258,-125393.0,0,17,5,12,70.58823529411765,29.411764705882355,84.0,8263.0,141384.0,360.0
6,21688.0,52608,30920.0,1,16,0,16,100.0,0.0,0.0,0.0,72000.0,48.0
7,240096.0,-420178,-660274.0,1,11,1,10,90.9090909090909,9.090909090909092,8.0,3165.0,215705.0,60.0
8,10990.0,143370,132380.0,0,5,4,1,20.0,80.0,14.0,5827.0,7203.0,12.0
9,51873.0,-40950530,-41002403.0,0,10,4,6,60.0,40.0,13.0,12473.0,15906.0,18.0
10,14493.0,-937424,-951917.0,1,16,1,15,93.75,6.25,13.0,2523.0,356115.0,30.0
11,31379.0,-857230,-888609.0,1,11,0,11,100.0,0.0,0.0,0.0,216600.0,120.0
12,138.0,179829,179691.0,1,9,1,8,88.88888888888889,11.11111111111111,1.0,110.0,19000.0,13.0
13,29197.0,-1020864,-1050061.0,1,26,1,25,96.15384615384616,3.8461538461538463,1.0,1092.0,184165.0,360.0
14,105600.0,983336,877736.0,0,8,1,7,87.5,12.5,13.0,37537.0,39900.0,90.0
15,13251.0,-4004,-17255.0,0,7,4,3,42.857142857142854,57.14285714285714,13.0,12447.0,10000.0,12.0
16,0.0,-2931,-2931.0,0,3,2,1,33.33333333333333,66.66666666666666,52.0,7128.0,10000.0,0.0
17,183533.0,22633,-160900.0,0,13,1,12,92.3076923076923,7.6923076923076925,2.0,702.0,39000.0,59.0
18,102956.0,-3864,-106820.0,0,14,0,14,100.0,0.0,0.0,0.0,354721.0,360.0
19,16616.0,158060,141444.0,0,14,4,10,71.42857142857143,28.57142857142857,13.0,4334.0,50000.0,36.0
20,32982.0,-1397160,-1430142.0,0,6,3,3,50.0,50.0,13.0,20272.0,20272.0,1.0
21,16602.0,-234233,-250835.0,1,41,14,27,65.85365853658537,34.146341463414636,7.0,4141.0,20077.0,17.5
22,1907.0,-189636,-191543.0,1,12,3,9,75.0,25.0,13.0,1100.0,175920.0,48.0
23,134573.0,941304,806731.0,0,28,13,15,53.57142857142857,46.42857142857143,84.0,21849.0,23200.0,120.0
24,1863.0,1350518,1348655.0,1,26,1,25,96.15384615384616,3.8461538461538463,13.0,1700.0,150000.0,900.0
25,4878.0,-67880,-72758.0,1,1,0,1,100.0,0.0,0.0,0.0,210000.0,60.0
26,13223.0,-33318,-46541.0,1,1,0,1,100.0,0.0,0.0,0.0,0.0,48.0
27,20024.0,2201720,2181696.0,1,38,2,36,94.73684210526315,5.263157894736842,1.0,649.0,82367.0,48.0
28,197.0,66250,66053.0,0,1,0,1,100.0,0.0,0.0,0.0,100.0,0.0
29,173.0,65634,65461.0,1,3,0,3,100.0,0.0,0.0,0.0,25000.0,0.0
30,91184.0,-57720,-148904.0,0,8,3,5,62.5,37.5,2.0,26385.0,95700.0,24.0
31,0.0,21216,21216.0,1,17,2,15,88.23529411764706,11.76470588235294,2.0,10276.0,254267.0,48.0
