id,real_monthly_payment,monthly_difference,difference_surplus,class,total_credits,delinquency_accounts,current_accounts,current_accounts_percentage,delinquency_accounts_percentage,worst_delinquency,worst_delinquency_past_due_balance,credit_limit,maximum_number_of_credit_payments
0,96773,3117600,3020827,1,30,7,23,76.66666667,23.33333333,4,4342,513069,1000
1,4927,65208,60281,0,8,5,3,37.5,62.5,73,20414,247552,360
2,6736,64960,58224,0,8,2,6,75,25,2,408,1475,20
3,15082,-60808,-75890,1,2,0,2,100,0,0,0,25000,36
4,0,68430,68430,1,6,0,6,100,0,0,0,48000,0
5,39135,-86258,-125393,0,17,5,12,70.58823529,29.41176471,84,8263,141384,360
6,21688,52608,30920,1,16,0,16,100,0,0,0,72000,48
7,240096,-420178,-660274,1,11,1,10,90.90909091,9.090909091,8,3165,215705,60
8,10990,143370,132380,0,5,4,1,20,80,14,5827,7203,12
9,51873,-40950530,-41002403,0,10,4,6,60,40,13,12473,15906,18
10,14493,-937424,-951917,1,16,1,15,93.75,6.25,13,2523,356115,30
11,31379,-857230,-888609,1,11,0,11,100,0,0,0,216600,120
12,138,179829,179691,1,9,1,8,88.88888889,11.11111111,1,110,19000,13
13,29197,-1020864,-1050061,1,26,1,25,96.15384615,3.846153846,1,1092,184165,360
14,105600,983336,877736,0,8,1,7,87.5,12.5,13,37537,39900,90
15,13251,-4004,-17255,0,7,4,3,42.85714286,57.14285714,13,12447,10000,12
16,0,-2931,-2931,0,3,2,1,33.33333333,66.66666667,52,7128,10000,0
17,183533,22633,-160900,0,13,1,12,92.30769231,7.692307692,2,702,39000,59
18,102956,-3864,-106820,0,14,0,14,100,0,0,0,354721,360
19,16616,158060,141444,0,14,4,10,71.42857143,28.57142857,13,4334,50000,36
20,32982,-1397160,-1430142,0,6,3,3,50,50,13,20272,20272,1
21,16602,-234233,-250835,1,41,14,27,65.85365854,34.14634146,7,4141,20077,17.5
22,1907,-189636,-191543,1,12,3,9,75,25,13,1100,175920,48
23,134573,941304,806731,0,28,13,15,53.57142857,46.42857143,84,21849,23200,120
24,1863,1350518,1348655,1,26,1,25,96.15384615,3.846153846,13,1700,150000,900
25,4878,-67880,-72758,1,1,0,1,100,0,0,0,210000,60
26,13223,-33318,-46541,1,1,0,1,100,0,0,0,0,48
27,20024,2201720,2181696,1,38,2,36,94.73684211,5.263157895,1,649,82367,48
